CVE,Severity_score,Exploitability_score,Impact_score,Access_complexity,Severity
CVE-2021-45741,7.8,10.0,6.9,LOW,HIGH
CVE-2021-45489,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-45485,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-45484,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-45392,7.8,10.0,6.9,LOW,HIGH
CVE-2021-45391,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-45386,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-44827,9.0,8.0,10.0,LOW,HIGH
CVE-2021-37913,10.0,10.0,10.0,LOW,HIGH
CVE-2021-34767,3.3,6.5,2.9,LOW,LOW
CVE-2021-3128,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-3125,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-30273,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-28362,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-27245,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2021-27170,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-25664,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-25663,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-23270,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-22915,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-22161,3.3,6.5,2.9,LOW,LOW
CVE-2021-21727,7.8,10.0,6.9,LOW,HIGH
CVE-2021-21410,6.4,10.0,4.9,LOW,MEDIUM
CVE-2021-21392,4.9,6.8,4.9,MEDIUM,MEDIUM
CVE-2021-21279,7.8,10.0,6.9,LOW,HIGH
CVE-2021-20712,5.0,10.0,2.9,LOW,MEDIUM
CVE-2021-20267,5.5,8.0,4.9,LOW,MEDIUM
CVE-2021-1389,6.4,10.0,4.9,LOW,MEDIUM
CVE-2021-1387,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-1268,3.3,6.5,2.9,LOW,LOW
CVE-2021-1229,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2021-0205,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-8752,7.5,10.0,6.4,LOW,HIGH
CVE-2020-7462,4.9,3.9,6.9,LOW,MEDIUM
CVE-2020-7457,6.8,8.6,6.4,MEDIUM,MEDIUM
CVE-2020-7451,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-6880,7.5,10.0,6.4,LOW,HIGH
CVE-2020-5923,4.8,6.5,4.9,LOW,MEDIUM
CVE-2020-5550,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2020-5549,6.8,8.6,6.4,MEDIUM,MEDIUM
CVE-2020-3675,10.0,10.0,10.0,LOW,HIGH
CVE-2020-3338,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-3191,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-28723,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-27720,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2020-27338,4.8,6.5,4.9,LOW,MEDIUM
CVE-2020-27337,7.5,10.0,6.4,LOW,HIGH
CVE-2020-27336,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-27066,4.6,3.9,6.4,LOW,MEDIUM
CVE-2020-26262,6.4,10.0,4.9,LOW,MEDIUM
CVE-2020-25112,7.5,10.0,6.4,LOW,HIGH
CVE-2020-25111,7.5,10.0,6.4,LOW,HIGH
CVE-2020-1749,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17469,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17468,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17445,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17444,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17442,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-17441,6.4,10.0,4.9,LOW,MEDIUM
CVE-2020-1609,8.3,6.5,10.0,LOW,HIGH
CVE-2020-1608,7.8,10.0,6.9,LOW,HIGH
CVE-2020-1603,7.8,10.0,6.9,LOW,HIGH
CVE-2020-15378,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-14305,8.3,8.6,8.5,MEDIUM,HIGH
CVE-2020-13986,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-13985,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-13984,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-13597,2.1,3.9,2.9,HIGH,LOW
CVE-2020-13401,6.0,6.8,6.4,MEDIUM,MEDIUM
CVE-2020-12740,6.4,10.0,4.9,LOW,MEDIUM
CVE-2020-12390,7.5,10.0,6.4,LOW,HIGH
CVE-2020-11913,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-11899,4.8,6.5,4.9,LOW,MEDIUM
CVE-2020-11897,10.0,10.0,10.0,LOW,HIGH
CVE-2020-10887,7.5,10.0,6.4,LOW,HIGH
CVE-2020-10749,6.0,6.8,6.4,MEDIUM,MEDIUM
CVE-2020-0597,5.0,10.0,2.9,LOW,MEDIUM
CVE-2020-0595,7.5,10.0,6.4,LOW,HIGH
CVE-2020-0594,7.5,10.0,6.4,LOW,HIGH
CVE-2020-0137,4.6,3.9,6.4,LOW,MEDIUM
CVE-2019-9183,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-8744,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2019-8377,6.8,8.6,6.4,MEDIUM,MEDIUM
CVE-2019-8359,7.5,10.0,6.4,LOW,HIGH
CVE-2019-8317,9.0,8.0,10.0,LOW,HIGH
CVE-2019-8313,9.0,8.0,10.0,LOW,HIGH
CVE-2019-5611,7.8,10.0,6.9,LOW,HIGH
CVE-2019-5597,6.4,10.0,4.9,LOW,MEDIUM
CVE-2019-5535,2.9,5.5,2.9,MEDIUM,LOW
CVE-2019-20422,2.1,3.9,2.9,LOW,LOW
CVE-2019-1964,7.8,10.0,6.9,LOW,HIGH
CVE-2019-18282,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-18198,7.2,3.9,10.0,LOW,HIGH
