CVE,Severity_score,Exploitability_score,Impact_score,Access_complexity,Severity
CVE-2019-15239,7.2,3.9,10.0,LOW,HIGH
CVE-2019-13951,7.5,10.0,6.4,LOW,HIGH
CVE-2019-12664,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-12381,4.9,3.9,6.9,LOW,MEDIUM
CVE-2019-12264,4.8,6.5,4.9,LOW,MEDIUM
CVE-2019-12256,7.5,10.0,6.4,LOW,HIGH
CVE-2019-11683,10.0,10.0,10.0,LOW,HIGH
CVE-2019-0066,5.0,10.0,2.9,LOW,MEDIUM
CVE-2019-0033,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-9158,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-7798,6.4,10.0,4.9,LOW,MEDIUM
CVE-2018-20503,4.3,8.6,2.9,MEDIUM,MEDIUM
CVE-2018-19082,7.5,10.0,6.4,LOW,HIGH
CVE-2018-19081,10.0,10.0,10.0,LOW,HIGH
CVE-2018-18442,7.8,10.0,6.9,LOW,HIGH
CVE-2018-15391,7.8,10.0,6.9,LOW,HIGH
CVE-2018-14641,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2018-11492,7.8,10.0,6.9,LOW,HIGH
CVE-2018-10938,7.1,8.6,6.9,MEDIUM,HIGH
CVE-2018-0369,5.0,10.0,2.9,LOW,MEDIUM
CVE-2018-0252,7.8,10.0,6.9,LOW,HIGH
CVE-2018-0241,6.1,6.5,6.9,LOW,MEDIUM
CVE-2018-0177,7.8,10.0,6.9,LOW,HIGH
CVE-2017-9354,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-9343,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-8890,7.2,3.9,10.0,LOW,HIGH
CVE-2017-7397,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-7177,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-6678,7.8,10.0,6.9,LOW,HIGH
CVE-2017-6520,6.4,10.0,4.9,LOW,MEDIUM
CVE-2017-6347,7.2,3.9,10.0,LOW,HIGH
CVE-2017-6214,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-5970,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-2671,4.9,3.9,6.9,LOW,MEDIUM
CVE-2017-2153,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-17997,5.0,10.0,2.9,LOW,MEDIUM
CVE-2017-17712,6.9,3.4,10.0,MEDIUM,MEDIUM
CVE-2017-14429,10.0,10.0,10.0,LOW,HIGH
CVE-2017-14106,4.9,3.9,6.9,LOW,MEDIUM
CVE-2017-13686,7.2,3.9,10.0,LOW,HIGH
CVE-2017-12231,7.8,10.0,6.9,LOW,HIGH
CVE-2016-8666,7.8,10.0,6.9,LOW,HIGH
CVE-2016-6432,9.3,8.6,10.0,MEDIUM,HIGH
CVE-2016-6392,7.8,10.0,6.9,LOW,HIGH
CVE-2016-6386,7.8,10.0,6.9,LOW,HIGH
CVE-2016-6366,8.5,6.8,10.0,MEDIUM,HIGH
CVE-2016-5696,5.8,8.6,4.9,MEDIUM,MEDIUM
CVE-2016-5104,5.0,10.0,2.9,LOW,MEDIUM
